LAST SEEN   TYPE      REASON              OBJECT                                    MESSAGE
49m         Normal    Scheduled           pod/sqlserver-init-ct542                  Successfully assigned devops-trabalho-rubrica/sqlserver-init-ct542 to desktop-control-plane
35m         Normal    Scheduled           pod/juliopedidoapi-654696d9c-b56mf        Successfully assigned devops-trabalho-rubrica/juliopedidoapi-654696d9c-b56mf to desktop-control-plane
48m         Normal    Scheduled           pod/juliojubiladoapi-78ffcdd46c-czp4l     Successfully assigned devops-trabalho-rubrica/juliojubiladoapi-78ffcdd46c-czp4l to desktop-control-plane
13m         Normal    Scheduled           pod/grafana-7b88b8d89c-r8bgq              Successfully assigned devops-trabalho-rubrica/grafana-7b88b8d89c-r8bgq to desktop-control-plane
48m         Normal    Scheduled           pod/flyway-migrate-fd5w6                  Successfully assigned devops-trabalho-rubrica/flyway-migrate-fd5w6 to desktop-control-plane
35m         Normal    Scheduled           pod/juliojubiladoapi-55b966965d-jzw8q     Successfully assigned devops-trabalho-rubrica/juliojubiladoapi-55b966965d-jzw8q to desktop-control-plane
48m         Normal    Scheduled           pod/juliopedidoapi-5f7798f7fc-gs29q       Successfully assigned devops-trabalho-rubrica/juliopedidoapi-5f7798f7fc-gs29q to desktop-control-plane
6m37s       Normal    Scheduled           pod/prometheus-77bc5b8447-wm4lv           Successfully assigned devops-trabalho-rubrica/prometheus-77bc5b8447-wm4lv to desktop-control-plane
35m         Normal    Scheduled           pod/juliojubiladoapi-55b966965d-tshw9     Successfully assigned devops-trabalho-rubrica/juliojubiladoapi-55b966965d-tshw9 to desktop-control-plane
35m         Normal    Scheduled           pod/juliojubiladoapi-55b966965d-7n6r4     Successfully assigned devops-trabalho-rubrica/juliojubiladoapi-55b966965d-7n6r4 to desktop-control-plane
35m         Normal    Scheduled           pod/juliojubiladoapi-55b966965d-nnrpp     Successfully assigned devops-trabalho-rubrica/juliojubiladoapi-55b966965d-nnrpp to desktop-control-plane
13m         Normal    Scheduled           pod/prometheus-648b9bcc7b-sfdxv           Successfully assigned devops-trabalho-rubrica/prometheus-648b9bcc7b-sfdxv to desktop-control-plane
48m         Normal    Scheduled           pod/juliojubiladoapi-78ffcdd46c-rxrpt     Successfully assigned devops-trabalho-rubrica/juliojubiladoapi-78ffcdd46c-rxrpt to desktop-control-plane
48m         Normal    Scheduled           pod/sqlserver-init-nq62q                  Successfully assigned devops-trabalho-rubrica/sqlserver-init-nq62q to desktop-control-plane
